idx,predictions,probabilities
505,0,0.5566666666666666
507,0,0.64
513,0,0.5166666666666667
519,0,0.5466666666666666
521,1,0.7266666666666667
522,1,0.6033333333333334
545,0,0.78
549,0,0.8266666666666667
551,0,0.8333333333333334
556,0,0.9
557,1,0.52
559,0,0.7033333333333334
560,1,0.62
566,0,0.8466666666666667
569,0,0.68
573,0,0.62
578,1,0.6466666666666666
579,0,0.9266666666666666
582,0,0.7766666666666666
596,1,0.81
598,0,0.51
599,0,0.7766666666666666
602,0,0.7933333333333333
605,1,0.7166666666666667
617,0,0.5
619,1,0.5566666666666666
630,0,0.7466666666666667
634,0,0.55
643,1,0.6133333333333333
645,0,0.64
647,0,0.71
649,0,0.83
656,0,0.8333333333333334
657,0,0.6333333333333333
658,0,0.7766666666666666
667,0,0.97
692,0,0.74
693,0,0.6566666666666666
698,1,0.8466666666666667
699,1,0.6166666666666667
700,0,0.85
704,0,0.9266666666666666
707,0,0.8833333333333333
708,1,0.8033333333333333
709,0,0.83
713,0,0.7866666666666666
714,0,0.8166666666666667
716,1,0.61
718,0,0.8433333333333334
722,0,0.9133333333333333
729,0,0.7566666666666667
731,0,0.9066666666666666
733,1,0.7566666666666667
746,1,0.51
747,1,0.6133333333333333
748,1,0.56
753,0,0.69
757,0,0.6066666666666667
763,0,0.66
767,0,0.6933333333333334
774,1,0.8233333333333334
776,1,0.5866666666666667
788,1,0.52
794,0,0.67
799,0,0.7666666666666667
803,0,0.65
806,0,0.6133333333333333
807,0,0.58
811,0,0.8566666666666667
816,0,0.79
818,0,0.7233333333333334
819,0,0.7033333333333334
831,0,0.79
835,0,0.5466666666666666
837,0,0.7166666666666667
841,1,0.67
846,0,0.56
856,1,0.5833333333333334
861,1,0.6333333333333333
862,1,0.6566666666666666
863,1,0.6466666666666666
865,0,0.6
871,1,0.5066666666666667
879,0,0.66
880,0,0.8866666666666667
881,0,0.6433333333333333
885,0,0.66
887,0,0.6733333333333333
892,0,0.9133333333333333
898,0,0.9733333333333334
900,0,0.6633333333333333
904,0,0.5233333333333333
906,1,0.6633333333333333
910,0,0.5366666666666666
912,0,0.5
913,0,0.6066666666666667
919,0,0.8
924,1,0.7333333333333333
925,1,0.66
930,0,0.7466666666666667
940,0,0.6766666666666666
941,0,0.6566666666666666
946,0,0.5533333333333333
949,1,0.7066666666666667
951,0,0.8333333333333334
962,0,0.81
966,0,0.89
967,0,0.9733333333333334
971,1,0.7533333333333333
981,0,0.7666666666666667
982,0,0.89
983,0,0.92
984,0,0.9366666666666666
989,0,0.6966666666666667
990,1,0.61
992,1,0.55
995,0,0.8666666666666667
996,0,0.6266666666666667
998,1,0.59
1001,0,0.7133333333333334
1007,0,0.87
1008,0,0.76
1016,0,0.93
1022,0,0.8966666666666666
1027,0,0.6866666666666666
1032,0,0.72
1033,0,0.7466666666666667
1041,0,0.52
1065,1,0.5366666666666666
1074,1,0.51
1075,0,0.59
1081,0,0.7133333333333334
1094,0,0.8366666666666667
1099,0,0.7766666666666666
1105,0,0.6133333333333333
1123,0,0.65
1135,0,0.8033333333333333
1142,0,0.6166666666666667
1155,0,0.97
1169,0,0.9733333333333334
1176,0,0.94
1178,1,0.5566666666666666
1180,0,0.91
1184,0,0.8733333333333333
1185,1,0.52
1193,0,0.6266666666666667
1196,0,0.7533333333333333
1199,0,0.57
1203,0,0.68
1205,0,0.6933333333333334
1207,0,0.93
1208,1,0.5633333333333334
1212,1,0.6166666666666667
1213,1,0.7066666666666667
1222,0,0.7833333333333333
1223,0,0.5033333333333333
1226,1,0.6066666666666667
1227,0,0.6533333333333333
1229,0,0.84
1230,0,0.6733333333333333
1231,1,0.6433333333333333
1241,0,0.88
1243,0,0.97
1244,0,0.7166666666666667
1246,0,0.6466666666666666
1248,0,0.59
1249,0,0.8766666666666667
1252,0,0.9033333333333333
1261,0,0.6466666666666666
1275,0,0.8733333333333333
1281,1,0.7566666666666667
1285,1,0.5466666666666666
1288,1,0.62
1290,0,0.84
1291,0,0.6766666666666666
1304,1,0.7533333333333333
